Customer ID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract,Total Spend,Last Interaction,Churn
69,42,Female,56,1,2,24,Premium,Annual,2850,24,1
70,30,Female,32,7,1,11,Premium,Annual,4088,14,0
71,26,Female,33,30,7,23,Premium,Quarterly,2647,25,1
72,55,Male,31,29,7,22,Premium,Monthly,3613,2,1
73,38,Male,8,3,1,6,Standard,Monthly,192,16,0
74,54,Male,5,20,9,17,Standard,Annual,769,29,0
75,53,Female,17,5,4,28,Premium,Annual,2076,4,0
76,49,Male,27,13,5,21,Standard,Annual,1341,5,1
77,37,Male,23,5,8,6,Basic,Quarterly,2996,23,1
78,47,Male,21,20,8,21,Basic,Monthly,3794,11,0
79,54,Male,18,15,6,1,Standard,Monthly,3210,10,1
80,51,Male,43,1,6,20,Premium,Annual,1523,27,1
81,25,Male,28,20,8,18,Standard,Monthly,1254,13,1
82,43,Female,46,25,5,20,Basic,Annual,3765,9,1
83,65,Male,35,26,9,28,Standard,Annual,4282,2,1
84,64,Female,8,1,10,25,Standard,Monthly,534,14,1
85,23,Female,34,1,6,2,Standard,Quarterly,1879,15,1
86,38,Male,21,17,8,2,Premium,Monthly,3007,28,1
87,42,Female,23,16,6,22,Basic,Quarterly,4679,30,1
88,21,Female,3,21,10,0,Premium,Monthly,442,15,0
89,37,Female,46,7,7,26,Basic,Monthly,4323,18,1
90,18,Male,20,25,4,30,Premium,Quarterly,4836,10,1
91,51,Male,17,17,4,1,Premium,Annual,2157,30,0
92,24,Female,9,26,10,19,Standard,Monthly,692,7,1
93,56,Male,49,1,6,13,Premium,Annual,3315,19,1
94,25,Female,33,12,10,5,Standard,Monthly,1071,19,1
95,23,Female,59,21,4,2,Basic,Monthly,3427,4,1
96,47,Female,57,12,0,24,Basic,Annual,2576,13,0
97,53,Male,34,3,0,29,Basic,Annual,4235,17,1
98,20,Male,22,24,3,27,Basic,Quarterly,4271,14,1
99,63,Male,2,21,4,12,Basic,Monthly,495,9,1
100,30,Female,14,7,1,8,Standard,Quarterly,3812,23,1
101,22,Female,59,1,9,12,Standard,Monthly,1812,29,1
102,64,Female,47,13,2,22,Standard,Quarterly,1744,8,1
103,25,Female,45,11,8,10,Basic,Quarterly,4391,21,1
104,40,Female,14,21,1,4,Standard,Annual,3163,18,0
105,58,Female,57,23,1,10,Standard,Monthly,2299,17,0
106,34,Female,13,19,4,29,Standard,Monthly,2726,9,1
107,63,Male,41,22,3,22,Premium,Annual,2405,16,1
108,57,Female,40,19,10,24,Basic,Annual,4068,19,0
109,37,Female,11,30,7,29,Premium,Monthly,924,15,1
110,18,Male,20,25,9,28,Premium,Annual,4570,29,1
111,59,Male,60,15,3,8,Basic,Monthly,2467,8,1
112,43,Female,26,5,8,21,Basic,Monthly,1239,2,1
113,47,Male,31,8,9,26,Premium,Quarterly,3064,23,1
114,62,Male,35,18,10,15,Basic,Annual,2167,27,1
115,33,Female,18,10,1,2,Premium,Monthly,2180,17,0
116,30,Female,48,7,4,30,Basic,Annual,3380,20,1
117,51,Male,46,13,10,28,Basic,Annual,1516,27,0
118,35,Male,19,28,0,30,Basic,Annual,2771,12,1
119,62,Male,25,23,6,4,Basic,Monthly,1463,21,1
120,20,Female,49,14,6,13,Basic,Monthly,2944,6,1
121,62,Male,27,2,9,1,Basic,Monthly,2867,28,1
122,42,Female,37,17,10,16,Premium,Monthly,1163,14,1
123,43,Female,56,22,4,3,Premium,Annual,3425,30,0
124,44,Male,51,2,5,26,Basic,Quarterly,3110,29,0
125,59,Female,14,28,1,11,Premium,Quarterly,1096,26,0
126,57,Male,6,14,0,30,Standard,Annual,962,12,1
127,31,Male,22,9,8,17,Premium,Monthly,3916,17,1
128,58,Male,8,17,1,2,Basic,Monthly,686,16,1
129,46,Male,15,3,9,16,Basic,Monthly,1571,24,1
130,59,Male,30,14,3,12,Premium,Monthly,3857,15,1
131,50,Female,25,23,2,14,Premium,Quarterly,4626,20,0
132,23,Male,21,23,3,17,Basic,Monthly,3627,18,1
133,24,Male,16,2,3,16,Basic,Monthly,4846,6,1
134,41,Male,41,3,2,8,Premium,Annual,4869,13,0
135,36,Female,39,24,8,7,Premium,Monthly,3495,6,1
136,54,Male,54,14,9,8,Premium,Annual,3092,20,0
137,43,Male,50,4,5,0,Standard,Annual,1581,23,0
138,55,Female,11,8,2,3,Premium,Annual,858,16,0
139,24,Female,60,2,6,6,Standard,Quarterly,4810,18,1
140,21,Male,28,22,9,22,Standard,Annual,1240,18,0
141,53,Male,45,22,5,28,Premium,Annual,1322,29,1
142,32,Male,27,6,9,5,Basic,Quarterly,2403,11,1
143,26,Female,56,9,10,8,Standard,Monthly,3979,27,1
144,41,Female,60,7,5,21,Basic,Monthly,3354,10,0
145,49,Male,36,7,3,12,Standard,Annual,2241,20,0
146,18,Female,39,6,6,17,Standard,Monthly,3428,21,1
147,37,Female,52,17,1,29,Premium,Annual,1932,11,1
148,56,Female,21,14,2,22,Standard,Quarterly,2221,8,1
149,27,Male,34,28,0,22,Standard,Monthly,4402,8,1
150,21,Female,52,24,5,13,Standard,Monthly,3587,5,0
151,37,Female,14,19,1,20,Standard,Quarterly,2382,10,1
152,20,Female,7,5,3,21,Basic,Annual,616,18,1
153,55,Female,36,22,0,16,Basic,Annual,2737,17,1
154,53,Female,13,13,7,24,Standard,Monthly,2104,15,1
155,24,Male,34,15,9,3,Premium,Annual,3064,13,1
156,45,Female,6,14,3,2,Basic,Quarterly,782,14,0
157,21,Female,57,8,2,12,Standard,Quarterly,3144,14,0
158,62,Female,54,17,10,12,Basic,Annual,3131,25,1
159,51,Male,39,24,10,2,Basic,Monthly,4842,9,1
160,23,Female,33,3,8,19,Basic,Monthly,1760,19,1
161,43,Male,53,28,1,12,Basic,Quarterly,3986,9,0
162,59,Male,39,24,5,29,Standard,Quarterly,4130,4,1
163,52,Male,58,23,6,10,Standard,Quarterly,2757,28,0
164,56,Female,49,20,1,20,Standard,Monthly,3292,9,1
165,55,Male,13,30,4,16,Basic,Monthly,2684,2,1
166,65,Female,21,21,3,21,Standard,Quarterly,2320,10,1
167,60,Female,13,24,7,19,Standard,Annual,3214,10,1
168,35,Female,17,23,4,12,Premium,Quarterly,4706,11,0
169,45,Male,58,28,4,23,Premium,Quarterly,2048,12,0
170,20,Female,22,22,0,4,Basic,Annual,2497,28,0
171,52,Male,54,12,0,8,Basic,Annual,3940,21,0
172,43,Female,24,3,5,2,Premium,Annual,4877,28,0
173,63,Male,4,25,8,2,Premium,Quarterly,140,3,1
174,46,Female,45,17,6,13,Basic,Quarterly,2979,19,1
175,61,Male,59,26,7,21,Standard,Quarterly,1769,12,1
176,41,Female,9,14,9,6,Standard,Quarterly,702,1,1
177,33,Male,6,14,0,22,Premium,Quarterly,347,18,1
178,58,Female,49,24,3,25,Standard,Annual,1423,17,1
179,52,Female,39,22,6,14,Basic,Quarterly,2407,16,0
180,46,Male,24,15,6,13,Standard,Annual,4901,9,0
181,56,Female,32,19,4,11,Standard,Monthly,4078,23,0
182,19,Female,60,27,2,19,Premium,Quarterly,2665,5,0
183,57,Male,8,11,3,29,Standard,Quarterly,880,7,1
184,28,Female,59,20,7,25,Basic,Annual,3970,5,1
185,29,Male,59,14,7,4,Basic,Quarterly,4204,2,0
186,48,Male,55,6,4,19,Standard,Monthly,1130,23,1
187,24,Female,16,20,6,30,Basic,Quarterly,2899,21,1
188,34,Female,28,9,1,15,Basic,Annual,4814,28,0
189,52,Female,19,16,0,17,Basic,Annual,4317,20,1
190,55,Male,59,4,10,10,Standard,Annual,2186,18,1
191,25,Female,47,2,0,7,Standard,Monthly,1974,4,1
192,30,Male,12,7,8,8,Basic,Quarterly,3231,23,1
193,54,Female,18,26,3,5,Premium,Monthly,4513,22,1
194,52,Male,38,29,6,3,Premium,Quarterly,2935,20,1
195,63,Male,21,3,1,2,Basic,Monthly,4935,24,1
196,47,Female,1,22,1,14,Basic,Monthly,294,29,0
197,45,Female,16,22,7,30,Basic,Quarterly,1362,8,1
198,23,Female,57,13,9,2,Basic,Annual,3552,2,1
199,41,Male,7,26,8,12,Standard,Monthly,513,14,1
200,42,Male,13,15,2,28,Standard,Quarterly,4925,22,1
201,48,Female,19,24,6,12,Standard,Annual,2746,30,1
202,31,Male,10,20,6,13,Basic,Monthly,810,25,1
203,40,Male,45,5,5,5,Premium,Quarterly,2394,24,0
204,64,Male,56,2,3,27,Basic,Monthly,3762,22,1
205,43,Male,29,11,8,9,Premium,Quarterly,1441,10,0
206,54,Female,59,20,10,21,Basic,Monthly,2031,23,1
207,45,Male,33,5,5,16,Standard,Monthly,2747,24,1
208,20,Female,51,17,0,19,Standard,Annual,4687,26,1
209,25,Female,25,4,2,15,Premium,Monthly,2398,13,0
210,58,Male,42,22,6,7,Standard,Annual,1872,14,1
211,52,Male,49,18,10,14,Standard,Monthly,2895,18,0
212,20,Male,34,18,2,4,Basic,Quarterly,2962,17,0
213,34,Male,43,20,8,2,Basic,Annual,3029,18,1
214,26,Male,15,2,4,19,Basic,Monthly,3290,27,1
215,61,Male,1,26,0,20,Standard,Monthly,754,18,0
216,31,Male,20,4,3,9,Premium,Monthly,1195,22,1
217,60,Female,58,28,0,15,Standard,Annual,3062,2,0
218,37,Female,50,14,9,8,Standard,Quarterly,2595,26,0
219,51,Female,49,15,7,18,Basic,Annual,2183,9,0
220,49,Female,19,29,10,19,Premium,Quarterly,3752,28,1
221,37,Female,54,30,10,10,Premium,Quarterly,4924,30,1
222,60,Female,21,4,10,28,Standard,Quarterly,3180,28,0
223,45,Female,1,8,3,3,Premium,Monthly,591,19,1
224,55,Male,24,19,10,30,Basic,Quarterly,4201,18,0
225,19,Male,60,27,4,5,Basic,Annual,1696,19,0
226,30,Female,29,25,10,28,Basic,Annual,1364,14,1
227,43,Female,35,28,6,7,Standard,Monthly,2810,7,0
228,44,Female,58,8,10,25,Basic,Monthly,1062,23,0
229,30,Male,4,18,7,16,Basic,Monthly,328,26,0
230,58,Male,32,29,0,27,Basic,Annual,4832,10,1
231,41,Male,48,8,6,10,Standard,Annual,3879,12,1
232,65,Female,26,18,7,19,Premium,Monthly,1749,17,1
233,61,Male,15,12,6,27,Basic,Quarterly,1906,17,1
234,63,Female,54,24,8,20,Basic,Monthly,2987,18,1
235,26,Female,42,25,0,23,Standard,Quarterly,2760,1,1
236,53,Female,34,24,10,30,Basic,Annual,3738,26,1
237,43,Male,43,4,9,17,Basic,Monthly,3255,24,0
238,46,Male,34,4,9,16,Standard,Monthly,1805,9,1
239,26,Female,16,13,0,23,Basic,Quarterly,2932,14,1
240,34,Female,31,18,9,29,Basic,Annual,4508,5,0
241,58,Female,2,18,3,30,Standard,Monthly,645,16,1
242,62,Male,47,21,6,24,Premium,Monthly,3465,1,1
243,55,Female,3,20,2,4,Premium,Quarterly,725,26,0
244,52,Female,11,19,6,4,Premium,Quarterly,789,29,1
245,27,Female,42,13,10,26,Premium,Quarterly,3031,14,1
246,38,Female,24,22,9,16,Basic,Monthly,4774,19,0
247,62,Male,56,5,9,2,Standard,Monthly,3746,15,1
248,39,Female,21,5,7,0,Basic,Quarterly,2777,9,1
249,28,Female,6,22,6,3,Standard,Quarterly,880,2,1
250,36,Male,35,13,5,23,Basic,Annual,2118,2,0
251,29,Female,25,23,0,9,Basic,Monthly,1322,5,1
252,49,Female,8,15,8,6,Basic,Quarterly,660,27,0
253,31,Female,39,29,7,9,Standard,Annual,1110,27,1
254,44,Female,25,11,0,27,Standard,Quarterly,1164,12,1
255,45,Female,31,17,5,6,Premium,Annual,1020,15,0
256,34,Male,49,23,0,24,Basic,Quarterly,4359,12,0
257,55,Male,2,30,6,3,Premium,Quarterly,706,23,0
258,46,Female,37,22,0,17,Premium,Annual,1617,14,1
259,53,Male,48,9,10,0,Premium,Quarterly,1723,19,1
260,46,Male,43,10,8,30,Basic,Quarterly,3856,4,1
261,38,Female,44,10,0,13,Premium,Quarterly,2926,1,0
262,59,Female,40,8,6,27,Basic,Monthly,1240,15,1
263,44,Female,50,26,10,2,Standard,Monthly,2413,10,0
264,62,Male,55,25,3,5,Basic,Monthly,4109,25,1
265,37,Male,55,11,0,23,Basic,Monthly,1856,21,1
266,59,Female,9,27,10,30,Basic,Annual,599,13,0
267,31,Female,7,24,6,11,Premium,Quarterly,813,4,1
268,21,Female,4,6,2,22,Basic,Quarterly,240,2,0
269,27,Female,40,18,3,17,Standard,Quarterly,2975,16,1
270,56,Male,52,13,7,8,Premium,Annual,2669,22,1
271,20,Male,29,5,9,19,Basic,Quarterly,2262,3,1
272,48,Female,34,26,9,9,Premium,Annual,4672,2,1
273,61,Female,13,4,5,29,Premium,Quarterly,2123,21,1
274,62,Female,39,27,4,15,Premium,Quarterly,2830,11,1
275,33,Male,27,27,4,9,Basic,Quarterly,4007,22,0
276,63,Male,59,3,7,20,Basic,Annual,1909,7,1
277,52,Female,55,17,5,9,Standard,Annual,4545,21,0
278,33,Male,57,28,2,19,Basic,Quarterly,1590,15,1
279,40,Male,31,7,7,23,Premium,Quarterly,1881,15,1
280,34,Female,1,26,0,20,Standard,Monthly,587,18,1
281,47,Female,15,6,5,22,Standard,Monthly,2380,16,1
282,51,Female,46,20,8,18,Premium,Monthly,3762,18,1
283,25,Female,12,3,8,7,Premium,Monthly,3567,7,1
284,61,Female,22,11,10,17,Standard,Quarterly,1714,15,1
285,40,Female,33,16,1,13,Basic,Annual,2173,23,1
286,25,Female,12,1,0,12,Basic,Monthly,2741,24,1
287,45,Male,53,13,2,11,Premium,Monthly,2552,13,1
288,46,Male,58,6,10,10,Premium,Annual,1147,17,0
289,64,Female,36,25,3,24,Basic,Monthly,1182,30,1
290,24,Female,44,16,2,10,Standard,Annual,3477,20,0
291,56,Male,14,23,0,3,Standard,Quarterly,4494,8,1
292,42,Male,54,21,5,2,Standard,Annual,4713,8,0
293,25,Female,27,16,3,16,Basic,Quarterly,1977,2,1
294,33,Female,35,21,0,10,Standard,Monthly,2776,27,1
295,45,Female,33,18,1,23,Premium,Monthly,4958,11,1
296,24,Male,45,13,9,0,Basic,Monthly,1204,5,0
297,18,Male,30,1,6,15,Premium,Monthly,4617,21,1
298,60,Male,45,6,1,16,Basic,Monthly,2917,26,1
299,46,Male,15,25,3,4,Standard,Monthly,1524,11,0
300,33,Male,11,6,7,1,Standard,Monthly,327,6,1
301,65,Male,26,9,1,9,Standard,Monthly,4952,16,1
302,23,Male,12,29,9,12,Premium,Quarterly,3962,21,0
303,49,Female,52,13,8,26,Premium,Annual,3582,25,1
304,43,Female,38,18,2,15,Premium,Annual,3293,22,1
305,21,Male,27,7,3,30,Premium,Monthly,2091,15,1
306,47,Male,25,17,5,8,Premium,Monthly,2581,24,1
307,38,Male,42,17,10,29,Basic,Monthly,4058,10,1
308,65,Male,55,28,8,20,Basic,Monthly,4236,19,1
309,59,Male,54,18,0,5,Premium,Quarterly,4616,8,0
310,24,Female,41,24,1,14,Standard,Quarterly,1599,6,0
311,18,Male,51,28,0,3,Premium,Monthly,3882,5,1
312,47,Female,5,21,3,16,Standard,Quarterly,649,26,1
313,49,Male,45,15,0,11,Premium,Quarterly,3559,18,0
314,39,Female,33,2,3,15,Standard,Quarterly,4559,19,0
315,23,Female,18,23,7,25,Standard,Annual,4023,11,1
316,42,Female,4,6,1,17,Premium,Annual,285,21,1
317,65,Female,10,20,4,20,Basic,Monthly,756,22,1
318,25,Male,38,5,4,20,Basic,Quarterly,4714,2,1
319,22,Female,17,10,0,12,Basic,Annual,3337,25,1
320,52,Female,56,22,9,3,Premium,Monthly,2478,6,1
321,46,Female,27,24,5,20,Standard,Monthly,4647,22,1
322,22,Male,15,27,6,11,Basic,Quarterly,3884,26,1
323,26,Male,52,26,7,12,Standard,Annual,1386,26,0
324,61,Female,25,18,0,11,Premium,Quarterly,3356,15,0
325,46,Female,12,6,10,4,Basic,Annual,4262,25,1
326,23,Female,24,19,7,2,Premium,Annual,3451,10,1
327,21,Female,46,30,5,24,Standard,Quarterly,3894,15,0
328,32,Female,23,7,5,23,Standard,Quarterly,2153,24,1
329,39,Female,41,20,1,14,Basic,Monthly,3386,11,1
330,21,Female,17,26,4,1,Standard,Quarterly,1946,9,0
331,53,Female,2,12,4,12,Standard,Monthly,776,29,0
332,26,Male,21,16,7,23,Premium,Monthly,2810,2,1
333,31,Male,46,20,7,8,Premium,Quarterly,2182,9,0
334,20,Female,25,7,9,22,Standard,Quarterly,2142,21,1
335,31,Female,13,30,6,9,Premium,Quarterly,4036,2,1
336,58,Male,43,6,4,13,Standard,Quarterly,2439,3,0
337,33,Male,12,8,3,25,Premium,Monthly,1070,14,1
338,55,Female,27,11,4,20,Basic,Quarterly,3255,24,1
339,47,Male,14,23,3,27,Basic,Annual,2787,7,1
340,30,Female,18,21,1,26,Standard,Monthly,3354,23,1
341,52,Male,31,10,7,4,Premium,Quarterly,1226,8,1
342,23,Female,41,5,2,26,Premium,Quarterly,2754,1,1
343,31,Male,22,25,3,28,Standard,Quarterly,2053,11,1
344,61,Female,59,5,8,8,Standard,Quarterly,3538,27,0
345,22,Female,1,8,0,23,Standard,Monthly,379,6,1
346,22,Male,34,26,0,26,Basic,Annual,3893,21,1
347,18,Female,31,11,4,23,Premium,Quarterly,2686,5,1
348,32,Female,40,7,1,24,Standard,Quarterly,3975,21,0
349,63,Male,24,16,3,10,Premium,Quarterly,1565,6,1
350,31,Male,31,10,4,18,Basic,Quarterly,3389,2,1
351,23,Female,9,12,5,22,Premium,Quarterly,299,8,1
352,57,Female,34,19,8,10,Basic,Annual,4836,2,1
353,21,Female,18,21,0,10,Basic,Quarterly,4557,27,0
354,37,Male,36,30,10,25,Standard,Monthly,2675,4,1
355,62,Female,45,29,7,6,Premium,Quarterly,1024,25,0
356,54,Male,14,23,0,20,Basic,Annual,2465,27,1
357,39,Female,33,18,4,30,Basic,Monthly,2811,19,1
358,56,Female,53,8,1,19,Premium,Monthly,3635,21,1
359,51,Male,59,16,4,14,Basic,Monthly,1005,21,1
360,33,Female,44,2,2,5,Premium,Annual,3024,10,0
361,40,Female,10,7,5,26,Basic,Quarterly,454,15,0
362,48,Female,60,14,3,18,Premium,Annual,1780,14,1
363,61,Female,52,11,5,21,Premium,Quarterly,2695,15,0
364,46,Female,21,23,7,8,Standard,Quarterly,4027,6,1
365,37,Female,54,6,3,8,Basic,Quarterly,2171,22,0
366,26,Female,47,17,10,27,Premium,Monthly,2022,3,1
367,52,Male,52,28,5,15,Basic,Annual,3816,28,0
368,37,Female,3,5,4,4,Premium,Monthly,810,29,1
369,62,Male,39,5,7,1,Standard,Annual,1586,13,1
370,55,Male,43,5,1,23,Basic,Quarterly,4986,29,0
371,47,Female,13,19,9,28,Basic,Monthly,2796,8,1
372,63,Male,13,11,2,20,Standard,Quarterly,3946,24,1
373,37,Male,9,14,3,8,Premium,Annual,345,3,0
374,46,Male,11,3,8,23,Basic,Annual,416,1,1
375,61,Male,56,3,0,24,Standard,Quarterly,1031,11,1
376,46,Male,46,6,9,10,Premium,Monthly,1608,21,1
377,37,Male,36,10,8,5,Basic,Annual,2019,29,1
378,45,Male,31,10,4,4,Basic,Monthly,3775,26,1
379,31,Male,51,7,1,11,Premium,Monthly,2055,16,1
380,54,Male,58,8,4,2,Premium,Quarterly,4642,16,0
381,57,Female,53,15,6,24,Basic,Annual,4469,2,1
382,27,Male,59,5,2,27,Basic,Quarterly,4310,11,0
383,40,Female,54,8,3,27,Basic,Annual,2031,30,1
384,55,Male,53,12,10,4,Basic,Annual,1111,1,0
385,63,Male,33,20,1,13,Standard,Monthly,2998,10,1
386,61,Male,35,30,2,11,Premium,Annual,2873,19,0
387,45,Female,22,12,4,26,Basic,Monthly,3269,23,1
388,39,Male,17,22,9,12,Premium,Quarterly,4146,26,1
389,63,Male,14,22,4,17,Standard,Monthly,4751,14,1
390,36,Female,58,7,9,14,Standard,Annual,2573,8,1
391,60,Male,38,28,8,8,Basic,Monthly,3601,26,1
392,46,Female,41,9,2,7,Basic,Quarterly,2866,11,0
393,54,Female,33,26,7,13,Basic,Annual,4472,12,0
394,28,Female,57,8,8,15,Basic,Annual,4660,18,0
395,57,Female,55,23,2,26,Premium,Monthly,4224,24,0
396,39,Female,9,24,3,9,Basic,Annual,893,6,0
397,34,Female,15,25,2,30,Standard,Annual,4056,28,1
398,29,Female,21,12,3,28,Basic,Monthly,2796,5,1
399,63,Female,21,21,7,11,Standard,Quarterly,2251,17,0
400,64,Male,3,26,0,1,Standard,Annual,483,5,0
401,43,Male,40,17,7,26,Standard,Monthly,4627,21,0
402,48,Female,22,13,0,0,Standard,Quarterly,2319,4,1
403,35,Female,39,20,1,8,Basic,Quarterly,4927,12,0
404,44,Female,51,5,1,16,Standard,Annual,1367,26,1
405,44,Female,28,21,0,26,Basic,Monthly,4141,16,1
406,25,Male,45,30,8,24,Premium,Annual,2914,23,0
407,49,Male,21,21,1,10,Standard,Quarterly,2578,23,0
408,38,Male,31,26,5,16,Standard,Quarterly,2602,17,1
409,21,Male,43,9,3,5,Premium,Monthly,1973,3,1
410,54,Male,43,30,7,21,Premium,Quarterly,2057,10,1
411,26,Female,30,28,3,29,Premium,Monthly,2949,14,1
412,25,Female,1,26,3,16,Premium,Quarterly,605,8,0
413,28,Male,6,29,10,21,Standard,Monthly,695,10,0
414,65,Male,14,21,3,19,Standard,Quarterly,1071,25,1
415,58,Male,23,16,10,9,Premium,Annual,4760,21,0
416,57,Male,44,19,5,6,Standard,Monthly,4334,9,0
417,65,Male,25,28,5,4,Standard,Monthly,2861,20,1
418,55,Female,42,24,4,8,Basic,Quarterly,4588,6,0
419,58,Female,4,27,9,3,Premium,Annual,153,29,1
420,20,Male,36,21,3,23,Standard,Quarterly,4261,25,1
421,39,Female,55,15,0,26,Standard,Monthly,2382,1,1
422,27,Male,37,19,0,18,Basic,Monthly,4229,8,0
423,55,Female,3,16,2,15,Premium,Annual,193,29,0
424,62,Male,10,5,6,13,Premium,Monthly,168,25,1
425,38,Female,58,16,8,24,Basic,Monthly,2870,22,1
426,60,Female,4,22,7,5,Premium,Quarterly,411,23,0
427,19,Female,8,3,5,26,Standard,Monthly,291,14,1
428,61,Male,16,19,5,27,Standard,Annual,1189,20,1
429,56,Female,16,26,4,27,Basic,Quarterly,4287,5,1
430,55,Female,54,22,10,20,Premium,Quarterly,4490,13,1
431,39,Male,11,2,3,7,Premium,Annual,866,22,0
432,42,Male,52,23,3,0,Standard,Monthly,2364,5,0
433,34,Female,28,15,1,15,Premium,Monthly,4861,23,1
434,37,Female,15,11,0,20,Basic,Annual,4055,9,0
435,63,Male,39,15,5,1,Basic,Monthly,3928,15,1
436,33,Female,28,20,8,19,Premium,Quarterly,4847,30,1
437,30,Male,41,14,5,18,Standard,Annual,3712,20,1
438,37,Female,38,10,8,19,Standard,Annual,3461,7,1
439,38,Male,25,14,5,17,Basic,Monthly,2662,26,1
440,42,Male,4,24,4,2,Premium,Annual,363,15,0
441,36,Male,59,5,2,26,Standard,Monthly,1532,19,1
442,38,Male,59,19,1,23,Premium,Monthly,3053,27,0
443,48,Male,53,13,7,3,Basic,Annual,3062,14,1
444,27,Male,18,26,6,8,Standard,Monthly,2865,20,0
445,63,Female,21,1,0,4,Basic,Monthly,3000,11,0
446,48,Male,29,28,7,11,Premium,Quarterly,3822,3,1
447,46,Male,6,4,2,20,Premium,Annual,394,11,0
448,52,Female,11,13,1,1,Premium,Annual,753,3,0
